what,kind,bundleId,bundleVersion,description,time
java.vm.version,sysinfo,,,"19.0-b09",1504539376670
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1504539380062
started,bundle,com.altera.sbtgui.core,11.0.0.157,"com.altera.sbtgui.core",1504539380521
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1504539380595
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1504539381075
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1504539381110
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1504539381115
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1504539383051
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504539383167
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1504539383390
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504539386710
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1504539393195
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1504539396391
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1504539402240
started,bundle,com.altera.debug.cdi.gdb.plugin,11.0.0.157,"com.altera.debug.cdi.gdb.plugin",1504539410965
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504539411452
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504539415776
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1504539415809
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504539418922
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504539443486
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504539448624
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504539500338
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1504539500378
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1504539503559
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1504539503560
opened,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1504539505997
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1504539506469
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1504539506479
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504539528982
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504539530783
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1504539531237
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504539531410
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1504539532172
stopped,bundle,com.altera.debug.cdi.gdb.plugin,11.0.0.157,"com.altera.debug.cdi.gdb.plugin",1504539532172
stopped,bundle,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch",1504539533174
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1504539533174
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1504539533175
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1504539533176
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1504539533176
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1504539533177
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201009141542,"org.eclipse.cdt.gdb.ui",1504539533178
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1504539533178
stopped,bundle,com.altera.sbtgui.ui,11.0.0.157,"com.altera.sbtgui.ui",1504539533179
stopped,bundle,com.altera.sbtgui.project,11.0.0.157,"com.altera.sbtgui.project",1504539533179
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1504539533179
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1504539533179
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.traditional",1504539533180
stopped,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1504539533180
stopped,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1504539533180
