what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.sbtgui.project,11.0.0.157,"com.altera.sbtgui.project",1506076980135
os,sysinfo,,,"win32",1506076980135
arch,sysinfo,,,"x86",1506076980135
ws,sysinfo,,,"win32",1506076980135
locale,sysinfo,,,"zh_CN",1506076980135
processors,sysinfo,,,"4",1506076980135
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1506076980135
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1506076980135
java.specification.name,sysinfo,,,"Java Platform API Specification",1506076980135
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1506076980135
java.specification.version,sysinfo,,,"1.6",1506076980135
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1506076980135
java.version,sysinfo,,,"1.6.0_23",1506076980135
java.vm.info,sysinfo,,,"mixed mode",1506076980135
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1506076980135
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1506076980135
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1506076980135
java.vm.specification.version,sysinfo,,,"1.0",1506076980135
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1506076980135
java.vm.version,sysinfo,,,"19.0-b09",1506076980135
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1506076980244
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1506076980260
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1506076980275
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1506076980416
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1506076980432
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1506076980541
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1506076980604
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1506076980619
started,bundle,com.altera.sbtgui.integration,11.0.0.157,"com.altera.sbtgui.integration",1506076981041
started,bundle,com.altera.systemconsole,11.0.0.157,"com.altera.systemconsole",1506076981057
started,bundle,com.altera.utilities,11.0.0.157,"com.altera.utilities",1506076981182
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1506076981197
